"stimulus"	"study"	"age"	"condition"	"gender"	"yoke_video"	"version"	"side"	"ID"	"choices"	"light"	"which_cup"	"correct_choice"	"time_win"	"roi_c1"	"roi_c2"	"roi_c3"	"roi_cor"
"F1_wom1_cup3-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
"F1_wom1_cup3-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	0	"time5"	NA	NA	NA	NA
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	1	"time5"	NA	NA	NA	NA
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	1	"time5"	1	NA	0	1
"F1_wom1_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time4"	1	NA	0	1
"F1_wom1_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time5"	NA	NA	NA	NA
"F1_wom1_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time5"	NA	NA	NA	NA
"F1_wom1_cup3-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup3-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup3-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup3-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup3-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time5"	NA	NA	NA	NA
"F1_wom1_cup2-15"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup2-15"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup2-15"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup2-15"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup2-15"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time5"	NA	NA	NA	NA
"F1_wom1_cup1-17"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup1-17"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup1-17"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup1-17"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time4"	1	NA	0	1
"F1_wom1_cup1-17"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time5"	1	NA	0	1
"F1_wom1_cup3-19"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup3-19"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup3-19"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup3-19"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup3-19"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time5"	0	NA	1	1
"F1_wom1_cup1-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup1-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup1-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup1-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup1-21"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"1"	1	"time5"	1	NA	0	1
"F1_wom1_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time1"	NA	NA	NA	NA
"F1_wom1_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time2"	NA	NA	NA	NA
"F1_wom1_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time3"	NA	NA	NA	NA
"F1_wom1_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
"F1_wom1_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"3"	1	"time5"	NA	NA	NA	NA
"F1_wom1_cup2-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"rig"	"246070"	"123213132"	"darks"	"2"	1	"time1"	NA	NA	NA	NA
