"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	"1"	"cup1"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	"1"	"cup2"	NA	NA	NA	NA	NA
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	"1"	"cup3"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"2"	"1"	"correct"	NA	NA	NA	NA	NA
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	"1"	"cup1"	"NaN"	"NaN"	"NaN"	"NaN"	"1"
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	"1"	"cup2"	NA	NA	NA	NA	NA
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	"1"	"cup3"	"NaN"	"NaN"	"NaN"	"NaN"	"0"
"F1_wom1_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246398"	"312132221"	"darks"	"1"	"1"	"correct"	"NaN"	"NaN"	"NaN"	"NaN"	"1"
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"cup1"	"1"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"cup2"	NA	NA	NA	NA	NA
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"cup3"	"0"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"correct"	"0"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"cup1"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"cup2"	NA	NA	NA	NA	NA
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"cup3"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup1-11"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"0"	"correct"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"1"	"cup1"	"1"	"NaN"	"NaN"	"1"	"1"
"F1_wom1_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f1"	"wom1"	"lef"	"246993"	"222232222"	"light"	"2"	"1"	"cup2"	NA	NA	NA	NA	NA
